Mode,TLX Score
None,61.666666666666664
None,61.666666666666664
None,61.666666666666664
None,61.666666666666664
None,33.333333333333336
None,33.333333333333336
None,33.333333333333336
None,33.333333333333336
None,38.333333333333336
None,38.333333333333336
None,38.333333333333336
None,38.333333333333336
None,51.666666666666664
None,51.666666666666664
None,51.666666666666664
None,51.666666666666664
None,45.0
None,45.0
None,45.0
None,45.0
None,51.666666666666664
None,51.666666666666664
None,51.666666666666664
None,51.666666666666664
None,45.0
None,45.0
None,45.0
None,45.0
None,20.833333333333332
None,20.833333333333332
None,20.833333333333332
None,20.833333333333332
None,57.5
None,57.5
None,57.5
None,57.5
None,41.666666666666664
None,41.666666666666664
None,41.666666666666664
None,41.666666666666664
None,57.5
None,57.5
None,57.5
None,57.5
None,53.333333333333336
None,53.333333333333336
None,53.333333333333336
None,53.333333333333336
None,29.166666666666668
None,29.166666666666668
None,29.166666666666668
None,29.166666666666668
None,60.0
None,60.0
None,60.0
None,60.0
None,56.666666666666664
None,56.666666666666664
None,56.666666666666664
None,56.666666666666664
E,50.0
E,33.333333333333336
E,34.166666666666664
E,40.833333333333336
E,33.333333333333336
E,50.0
E,23.333333333333332
E,16.666666666666668
E,30.833333333333332
E,49.166666666666664
E,50.0
E,35.833333333333336
E,25.0
E,56.666666666666664
E,50.0
E,60.0
E,30.833333333333332
E,21.666666666666668
E,19.166666666666668
E,42.5
E,27.5
E,28.333333333333332
E,0.0
E,37.5
E,26.666666666666668
E,31.666666666666668
E,45.0
E,35.833333333333336
E,47.5
E,55.833333333333336
E,56.666666666666664
E,50.0
E,16.666666666666668
E,6.666666666666667
E,44.166666666666664
E,36.666666666666664
E,26.666666666666668
E,0.0
E,35.0
E,51.666666666666664
E,52.5
E,35.0
E,40.833333333333336
E,56.666666666666664
E,24.166666666666668
E,55.0
E,62.5
E,23.333333333333332
E,25.833333333333332
E,34.166666666666664
E,41.666666666666664
E,28.333333333333332
E,58.333333333333336
E,39.166666666666664
E,47.5
E,50.0
E,37.5
E,30.833333333333332
E,60.833333333333336
E,75.83333333333333
T,60.0
T,29.166666666666668
T,45.833333333333336
T,18.333333333333332
T,49.166666666666664
T,39.166666666666664
T,31.666666666666668
T,8.333333333333334
T,52.5
T,45.0
T,45.833333333333336
T,53.333333333333336
T,26.666666666666668
T,53.333333333333336
T,59.166666666666664
T,48.333333333333336
T,29.166666666666668
T,38.333333333333336
T,39.166666666666664
T,27.5
T,50.833333333333336
T,20.0
T,29.166666666666668
T,55.0
T,43.333333333333336
T,56.666666666666664
T,37.5
T,8.333333333333334
T,36.666666666666664
T,49.166666666666664
T,38.333333333333336
T,27.5
T,21.666666666666668
T,20.833333333333332
T,31.666666666666668
T,33.333333333333336
T,10.833333333333334
T,0.0
T,0.0
T,38.333333333333336
T,38.333333333333336
T,27.5
T,14.166666666666666
T,36.666666666666664
T,34.166666666666664
T,38.333333333333336
T,29.166666666666668
T,25.0
T,7.5
T,17.5
T,47.5
T,35.833333333333336
T,16.666666666666668
T,36.666666666666664
T,49.166666666666664
T,65.83333333333333
T,33.333333333333336
T,36.666666666666664
T,33.333333333333336
T,47.5
